 docno              rank  score               
 34940813830004737  1     0.37289558041356924 
 32279337206030337  2     0.3334373076261911  
 34859144401911808  3     0.33170227579888745 
 35019168994562048  4     0.3053735100704879  
 34980199166640128  5     0.3053735100704879  
 28998762059796481  6     0.29655753913563887 
 31566356570701824  7     0.29273764034898064 
 34133619215704064  8     0.2845470239873686  
 31554954959261696  9     0.2843442244017306  
 34890358110298112  10    0.2693565708626634  
 30470206421729283  11    0.25419969799322933 
 28997303779987456  12    0.23064179136621482 
 32133084887392260  13    0.22750135837719307 
 32298320630124544  14    0.22445207696298236 
 29640931237953536  15    0.2194382618409693  
 29372384104415232  16    0.21622377754322716 
 34727727093260288  17    0.2160443319547119  
 32882986810605568  18    0.2129594762870434  
 31340181667713024  19    0.21211552576990583 
 30406114197635073  20    0.20599666195912011 
 32159524966113280  21    0.20050130219113071 
 32950062631882752  22    0.19707233735203392 
 30381899499180033  23    0.19413963375550702 
 34440112955719681  24    0.1921852079123308  
 35050631639080960  25    0.1908149262273425  
 30516965793595392  26    0.18745480478487359 
 30351444825612288  27    0.186794494317921   
 32987968578789376  28    0.18081452281958257 
 32283184058081280  29    0.18006411355679613 
 31904998782672896  30    0.17986618497495233 
 30929596903858176  31    0.17893333320172017 
 32405399055376384  32    0.1766974946250604  
 28979285863694336  33    0.17531818642016275 
 31492099463446529  34    0.17250099232805105 
 32352095646519296  35    0.169451423036495   
 34594252130361344  36    0.16611419774886033 
 29430254430851072  37    0.1660901106602708  
 31996381384151040  38    0.165294366075602   
 32123333415800833  39    0.16164147768303064 
 32897107639664640  40    0.1608650973481113  
 30176088143429632  41    0.15844844918487916 
 32948128546033664  42    0.15771105347214456 
 29682046888579072  43    0.15770236798621703 
 30084901365616641  44    0.15759821672502633 
 29420646006005760  45    0.15663701544696707 
 34951608890560512  46    0.1566113154799819  
 34944634237095936  47    0.1545155590391868  
 33689424663420928  48    0.15274354436024692 
 33363588152295424  49    0.15169569306000577 
 32486850681638912  50    0.1514269637446778  
 32916607193849857  51    0.15006994198012363 
 30094790859165696  52    0.1498578955906392  
 31879912264568832  53    0.14844787962124048 
 33678434659995648  54    0.14828644802929566 
 30179781710450688  55    0.14820969918191235 
 31501675416002560  56    0.14814452509861759 
 33345489537732608  57    0.1471170386032895  
 32197785675632640  58    0.14625294812910078 
 32206119061426176  59    0.14514469045028783 
 30462473005961218  60    0.1367768245077249  
 29773176879714304  61    0.13610074134475897 
 32578227297849345  62    0.13325699650489686 
 29380650008059904  63    0.12947031074460175 
 30400409612853249  64    0.12713935079224475 
 32869608339808256  65    0.12579057734163845 
 29733670956830720  66    0.1254956436976829  
 30002023231397888  67    0.12343993438631472 
 30863658250665984  68    0.12282575267623441 
 30892331481702400  69    0.12016363894562551 
 34109142905921536  70    0.11901249315879343 
 31496045473042433  71    0.11425902154232419 
 30928286515200000  72    0.1124993949042873  
 29229781715259392  73    0.10757577662172617 
 31129796297625600  74    0.10249877755324309 
 35014028359114752  75    0.10217510875236313 
 29268738104631296  76    0.08907149827035767 
